provider_id,song_id,title,genre,releaseDate,duration,coverImageURL,timesPlayed,musicURL,previewMusicURL,albumId
Spotify,1,Silk Sonic Intro,Pop,2021-11-12,01:03,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,41609,https://open.spotify.com/track/4K09vJ27xCOreumtSuU6Ao,https://p.scdn.co/mp3-preview/652eb965372f40afaa809389882a3ffc5a11a46b?cid=5edcc61fe8d74a5fb122ebaea0115cba,1
Spotify,2,Leave The Door Open,Pop,2021-11-12,04:02,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,13270,https://open.spotify.com/track/4pryE6cN2gFL1FVF5fYINl,https://p.scdn.co/mp3-preview/2f06384101ad1a5aa6b02f6fc24b59789c2ab54d?cid=5edcc61fe8d74a5fb122ebaea0115cba,1
Spotify,3,Fly As Me,Pop,2021-11-12,03:39,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,61346,https://open.spotify.com/track/7suB6D6uKX5DfPukdGaz0W,https://p.scdn.co/mp3-preview/e4a561c3113a1cc27843ca644c35c8a9c87b90f1?cid=5edcc61fe8d74a5fb122ebaea0115cba,1
Spotify,4,After Last Night (with Thundercat & Bootsy Collins),Pop,2021-11-12,04:09,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,92297,https://open.spotify.com/track/6jGAh1bFnXt1Muj9zeHveZ,https://p.scdn.co/mp3-preview/3e85cec2c59de46689a7ca0839342d97d3aef008?cid=5edcc61fe8d74a5fb122ebaea0115cba,1
Spotify,5,Smokin Out The Window,Pop,2021-11-12,03:17,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,23496,https://open.spotify.com/track/1oERlssLrpssCAY6Yqqs6c,https://p.scdn.co/mp3-preview/03985ea0f5b53660c352773875ba5159533fe692?cid=5edcc61fe8d74a5fb122ebaea0115cba,1
Spotify,6,Put On A Smile,Pop,2021-11-12,04:15,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,54596,https://open.spotify.com/track/5lka5RUbLVQGO94mKAPMRO,https://p.scdn.co/mp3-preview/c5f4c51baf9ea637bb589e6e847e4a38a727321b?cid=5edcc61fe8d74a5fb122ebaea0115cba,1
Spotify,7,777,R&B,2021-11-12,02:45,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,56361,https://open.spotify.com/track/2K6vUau7bnZUamjbRSOOvJ,https://p.scdn.co/mp3-preview/a7fd9492a8b2e25f1d924f0d913a964e9191fe34?cid=5edcc61fe8d74a5fb122ebaea0115cba,1
Spotify,8,Skate,Funk,2021-11-12,03:23,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,8246,https://open.spotify.com/track/3WTWh2WDk4j8GUCGj4xfOd,https://p.scdn.co/mp3-preview/3e93cbec6eb68471b1c027bd057175cdb7590dfc?cid=5edcc61fe8d74a5fb122ebaea0115cba,1
Spotify,9,Love's Train,R&B,2021-11-12,05:07,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,16629,https://open.spotify.com/track/2ALh2jqA7KldpHMUHvRomw,https://p.scdn.co/mp3-preview/9078325a05c0fe6bb9e72089844273a7f376f330?cid=5edcc61fe8d74a5fb122ebaea0115cba,1
Spotify,10,Blast Off,Funk,2021-11-12,04:44,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,88028,https://open.spotify.com/track/2NqyjfDXy0XfXCSPXMsKzi,https://p.scdn.co/mp3-preview/90e7a0359ddec02e276a1d7ba5e41457eb7eb6ce?cid=5edcc61fe8d74a5fb122ebaea0115cba,1
Spotify,11,24K Magic,Pop,2016-11-17,03:45,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,930,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,https://p.scdn.co/mp3-preview/3a76820d510fa5f84abb413e9d13815bcc86da0f?cid=5edcc61fe8d74a5fb122ebaea0115cba,2
Spotify,12,Chunky,Funk,2016-11-17,03:06,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,80862,https://open.spotify.com/track/0mBKv9DkYfQHjdMcw2jdyI,https://p.scdn.co/mp3-preview/cb1271bde07433fa99a73e11763003a1116722c5?cid=5edcc61fe8d74a5fb122ebaea0115cba,2
Spotify,13,Perm,Pop,2016-11-17,03:30,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,66642,https://open.spotify.com/track/1I6pKIyaBp4OebTGLJpCCC,https://p.scdn.co/mp3-preview/0cbb4cd3c7027ca841628c22b59b5a4e83999f3d?cid=5edcc61fe8d74a5fb122ebaea0115cba,2
Spotify,14,That's What I Like,Pop,2016-11-17,03:26,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,10615,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,https://p.scdn.co/mp3-preview/93046e987d8c5bfdbeea2768ac1a8ecea17bd7e0?cid=5edcc61fe8d74a5fb122ebaea0115cba,2
Spotify,15,Versace on the Floor,Pop,2016-11-17,04:21,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,15189,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,https://p.scdn.co/mp3-preview/6984bfcc42ba35e566625853e20d6fccf7b8348e?cid=5edcc61fe8d74a5fb122ebaea0115cba,2
Spotify,16,Straight up & Down,Funk,2016-11-17,03:18,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,65700,https://open.spotify.com/track/2mrZYZGmPFV3QOyYPZ1zsn,https://p.scdn.co/mp3-preview/272ddb0da380f56637338d2f93b1be5f3c0f6123?cid=5edcc61fe8d74a5fb122ebaea0115cba,2
Spotify,17,Calling All My Lovelies,Funk,2016-11-17,04:10,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,64009,https://open.spotify.com/track/6ObpR8ek44tvWefQRcSo8K,https://p.scdn.co/mp3-preview/eb7950f593437250a5ac974e9aca2452f92190ab?cid=5edcc61fe8d74a5fb122ebaea0115cba,2
Spotify,18,Finesse,R&B,2016-11-17,03:11,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,29314,https://open.spotify.com/track/5XMkENs3GfeRza8MfVAhjK,https://p.scdn.co/mp3-preview/402b17b94063657e4ece35f78a20e5e3970f3c3d?cid=5edcc61fe8d74a5fb122ebaea0115cba,2
